sample	unit	platform	cram
1694503_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1694503_23163_0_0.cram
1714141_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1714141_23163_0_0.cram
1716995_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1716995_23163_0_0.cram
1719146_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1719146_23163_0_0.cram
1720217_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1720217_23163_0_0.cram
1725163_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1725163_23163_0_0.cram
1735088_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1735088_23163_0_0.cram
1736907_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1736907_23163_0_0.cram
1742182_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1742182_23163_0_0.cram
1743580_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1743580_23163_0_0.cram
1752000_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1752000_23163_0_0.cram
1752603_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1752603_23163_0_0.cram
1758402_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1758402_23163_0_0.cram
1758824_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1758824_23163_0_0.cram
1766579_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1766579_23163_0_0.cram
1774374_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1774374_23163_0_0.cram
1780722_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1780722_23163_0_0.cram
1793362_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1793362_23163_0_0.cram
1800290_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1800290_23163_0_0.cram
1803293_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1803293_23163_0_0.cram
1805354_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1805354_23163_0_0.cram
1806183_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1806183_23163_0_0.cram
1807776_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1807776_23163_0_0.cram
1809276_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1809276_23163_0_0.cram
1818126_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1818126_23163_0_0.cram
1822470_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1822470_23163_0_0.cram
1826248_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1826248_23163_0_0.cram
1832681_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1832681_23163_0_0.cram
1837489_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1837489_23163_0_0.cram
1837907_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1837907_23163_0_0.cram
1841121_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1841121_23163_0_0.cram
1846158_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1846158_23163_0_0.cram
1847420_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1847420_23163_0_0.cram
1851052_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1851052_23163_0_0.cram
1864240_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1864240_23163_0_0.cram
1865319_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1865319_23163_0_0.cram
1873806_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1873806_23163_0_0.cram
1878254_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1878254_23163_0_0.cram
1882019_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1882019_23163_0_0.cram
1883071_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1883071_23163_0_0.cram
1883163_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1883163_23163_0_0.cram
1885687_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1885687_23163_0_0.cram
1893698_23163_0_0	1	ILLUMINA	/scratch/PI/rbaltman/ukbiobank/aa/1893698_23163_0_0.cram
